tile_id,x1,y1,x2,y2
1,89360,584010,129040,623690
2,10000,345930,29840,365770
3,49680,445130,69520,464970
4,129040,345930,148880,365770
5,148880,603850,168720,623690
6,148880,584010,168720,603850
7,129040,544330,148880,564170
8,148880,504650,168720,524490
9,188560,603850,208400,623690
10,208400,603850,228240,623690
11,228240,603850,248080,623690
12,248080,603850,267920,623690
13,267920,584010,287760,603850
14,267920,484810,287760,504650
15,267920,464970,287760,484810
16,267920,524490,287760,544330
17,208400,345930,228240,365770
18,248080,425290,267920,445130
19,10000,375690,19920,385610
20,29840,375690,39760,385610
21,69520,365770,79440,375690
22,69520,375690,79440,385610
23,79440,365770,89360,375690
24,10000,385610,19920,395530
25,10000,395530,19920,405450
26,29840,405450,39760,415370
27,29840,415370,39760,425290
28,49680,435210,59600,445130
29,49680,395530,59600,405450
30,89360,375690,99280,385610
31,99280,375690,109200,385610
32,109200,375690,119120,385610
33,129040,365770,138960,375690
34,129040,375690,138960,385610
35,148880,355850,158800,365770
36,109200,574090,119120,584010
37,119120,574090,129040,584010
38,119120,564170,129040,574090
39,119120,554250,129040,564170
40,129040,584010,138960,593930
41,138960,593930,148880,603850
42,138960,584010,148880,593930
43,148880,564170,158800,574090
44,148880,544330,158800,554250
45,89360,494730,99280,504650
46,99280,534410,109200,544330
47,129040,504650,138960,514570
48,148880,524490,158800,534410
49,148880,534410,158800,544330
50,158800,484810,168720,494730
51,148880,474890,158800,484810
52,178640,504650,188560,514570
53,188560,524490,198480,534410
54,178640,593930,188560,603850
55,168720,603850,178640,613770
56,178640,603850,188560,613770
57,208400,593930,218320,603850
58,218320,554250,228240,564170
59,238160,544330,248080,554250
60,277840,574090,287760,584010
61,267920,544330,277840,554250
62,258000,593930,267920,603850
63,248080,494730,258000,504650
64,258000,494730,267920,504650
65,258000,514570,267920,524490
66,198480,336010,208400,345930
67,198480,326090,208400,336010
68,168720,345930,178640,355850
69,198480,405450,208400,415370
70,178640,445130,188560,455050
71,238160,425290,248080,435210
72,208400,395530,218320,405450
73,248080,445130,258000,455050
74,10000,365770,14960,370730
75,10000,370730,14960,375690
76,14960,370730,19920,375690
77,14960,365770,19920,370730
78,19920,375690,24880,380650
79,19920,380650,24880,385610
80,24880,380650,29840,385610
81,19920,365770,24880,370730
82,24880,370730,29840,375690
83,24880,365770,29840,370730
84,29840,365770,34800,370730
85,29840,370730,34800,375690
86,34800,370730,39760,375690
87,34800,365770,39760,370730
88,39760,375690,44720,380650
89,39760,380650,44720,385610
90,44720,380650,49680,385610
91,44720,375690,49680,380650
92,39760,370730,44720,375690
93,39760,355850,44720,360810
94,39760,360810,44720,365770
95,44720,360810,49680,365770
96,44720,355850,49680,360810
97,49680,355850,54640,360810
98,54640,360810,59600,365770
99,54640,355850,59600,360810
100,64560,360810,69520,365770
101,49680,365770,54640,370730
102,49680,370730,54640,375690
103,54640,370730,59600,375690
104,54640,365770,59600,370730
105,49680,375690,54640,380650
106,49680,380650,54640,385610
107,54640,380650,59600,385610
108,54640,375690,59600,380650
109,59600,375690,64560,380650
110,64560,380650,69520,385610
111,64560,375690,69520,380650
112,59600,370730,64560,375690
113,64560,370730,69520,375690
114,64560,365770,69520,370730
115,84400,380650,89360,385610
116,84400,375690,89360,380650
117,19920,395530,24880,400490
118,24880,400490,29840,405450
119,19920,385610,24880,390570
120,24880,390570,29840,395530
121,39760,415370,44720,420330
122,44720,420330,49680,425290
123,44720,415370,49680,420330
124,39760,405450,44720,410410
125,44720,410410,49680,415370
126,34800,385610,39760,390570
127,29840,395530,34800,400490
128,29840,400490,34800,405450
129,34800,400490,39760,405450
130,39760,395530,44720,400490
131,39760,400490,44720,405450
132,44720,400490,49680,405450
133,44720,395530,49680,400490
134,39760,385610,44720,390570
135,39760,390570,44720,395530
136,44720,390570,49680,395530
137,49680,425290,54640,430250
138,59600,435210,64560,440170
139,59600,440170,64560,445130
140,59600,425290,64560,430250
141,59600,430250,64560,435210
142,64560,430250,69520,435210
143,69520,450090,74480,455050
144,79440,460010,84400,464970
145,54640,390570,59600,395530
146,59600,395530,64560,400490
147,59600,400490,64560,405450
148,64560,400490,69520,405450
149,64560,395530,69520,400490
150,59600,390570,64560,395530
151,64560,390570,69520,395530
152,49680,410410,54640,415370
153,54640,410410,59600,415370
154,54640,405450,59600,410410
155,49680,415370,54640,420330
156,49680,420330,54640,425290
157,54640,420330,59600,425290
158,54640,415370,59600,420330
159,59600,415370,64560,420330
160,64560,420330,69520,425290
161,59600,405450,64560,410410
162,59600,410410,64560,415370
163,64560,410410,69520,415370
164,64560,405450,69520,410410
165,69520,405450,74480,410410
166,74480,410410,79440,415370
167,74480,405450,79440,410410
168,69520,420330,74480,425290
169,74480,420330,79440,425290
170,74480,415370,79440,420330
171,79440,415370,84400,420330
172,79440,420330,84400,425290
173,84400,420330,89360,425290
174,79440,405450,84400,410410
175,79440,410410,84400,415370
176,84400,410410,89360,415370
177,84400,405450,89360,410410
178,69520,385610,74480,390570
179,69520,395530,74480,400490
180,69520,400490,74480,405450
181,74480,400490,79440,405450
182,74480,395530,79440,400490
183,79440,400490,84400,405450
184,84400,400490,89360,405450
185,84400,395530,89360,400490
186,79440,390570,84400,395530
187,84400,385610,89360,390570
188,89360,385610,94320,390570
189,94320,385610,99280,390570
190,99280,400490,104240,405450
191,89360,410410,94320,415370
192,94320,410410,99280,415370
193,99280,415370,104240,420330
194,104240,415370,109200,420330
195,99280,410410,104240,415370
196,104240,410410,109200,415370
197,104240,405450,109200,410410
198,109200,410410,114160,415370
199,109200,415370,114160,420330
200,114160,420330,119120,425290
201,114160,415370,119120,420330
202,124080,415370,129040,420330
203,124080,410410,129040,415370
204,109200,385610,114160,390570
205,109200,390570,114160,395530
206,114160,390570,119120,395530
207,114160,385610,119120,390570
208,119120,385610,124080,390570
209,119120,390570,124080,395530
210,124080,390570,129040,395530
211,104240,435210,109200,440170
212,94320,455050,99280,460010
213,114160,445130,119120,450090
214,114160,460010,119120,464970
215,114160,455050,119120,460010
216,119120,460010,124080,464970
217,124080,445130,129040,450090
218,109200,430250,114160,435210
219,114160,430250,119120,435210
220,119120,440170,124080,445130
221,124080,435210,129040,440170
222,119120,430250,124080,435210
223,129040,425290,134000,430250
224,134000,425290,138960,430250
225,129040,435210,134000,440170
226,134000,435210,138960,440170
227,143920,435210,148880,440170
228,138960,425290,143920,430250
229,143920,425290,148880,430250
230,134000,460010,138960,464970
231,143920,445130,148880,450090
232,148880,455050,153840,460010
233,158800,455050,163760,460010
234,163760,455050,168720,460010
235,148880,425290,153840,430250
236,148880,435210,153840,440170
237,153840,435210,158800,440170
238,158800,435210,163760,440170
239,158800,425290,163760,430250
240,163760,425290,168720,430250
241,129040,385610,134000,390570
242,143920,395530,148880,400490
243,143920,390570,148880,395530
244,129040,415370,134000,420330
245,138960,420330,143920,425290
246,138960,405450,143920,410410
247,153840,420330,158800,425290
248,153840,415370,158800,420330
249,158800,410410,163760,415370
250,163760,405450,168720,410410
251,148880,385610,153840,390570
252,163760,395530,168720,400490
253,163760,390570,168720,395530
254,119120,375690,124080,380650
255,124080,380650,129040,385610
256,124080,375690,129040,380650
257,138960,380650,143920,385610
258,143920,380650,148880,385610
259,138960,365770,143920,370730
260,143920,365770,148880,370730
261,153840,365770,158800,370730
262,148880,375690,153840,380650
263,148880,380650,153840,385610
264,158800,365770,163760,370730
265,163760,370730,168720,375690
266,163760,365770,168720,370730
267,163760,355850,168720,360810
268,84400,469930,89360,474890
269,109200,564170,114160,569130
270,109200,569130,114160,574090
271,114160,569130,119120,574090
272,114160,564170,119120,569130
273,114160,549290,119120,554250
274,114160,544330,119120,549290
275,109200,554250,114160,559210
276,109200,559210,114160,564170
277,114160,554250,119120,559210
278,119120,544330,124080,549290
279,124080,549290,129040,554250
280,153840,579050,158800,584010
281,158800,574090,163760,579050
282,158800,579050,163760,584010
283,163760,579050,168720,584010
284,158800,564170,163760,569130
285,158800,569130,163760,574090
286,163760,569130,168720,574090
287,153840,559210,158800,564170
288,153840,554250,158800,559210
289,158800,554250,163760,559210
290,158800,559210,163760,564170
291,163760,554250,168720,559210
292,158800,544330,163760,549290
293,158800,549290,163760,554250
294,163760,549290,168720,554250
295,163760,544330,168720,549290
296,94320,479850,99280,484810
297,94320,489770,99280,494730
298,99280,499690,104240,504650
299,109200,489770,114160,494730
300,124080,494730,129040,499690
301,119120,469930,124080,474890
302,124080,469930,129040,474890
303,99280,514570,104240,519530
304,99280,519530,104240,524490
305,99280,504650,104240,509610
306,99280,509610,104240,514570
307,104240,529450,109200,534410
308,109200,529450,114160,534410
309,109200,534410,114160,539370
310,109200,539370,114160,544330
311,114160,534410,119120,539370
312,119120,534410,124080,539370
313,119120,539370,124080,544330
314,124080,539370,129040,544330
315,124080,534410,129040,539370
316,124080,529450,129040,534410
317,114160,509610,119120,514570
318,119120,514570,124080,519530
319,119120,509610,124080,514570
320,124080,509610,129040,514570
321,124080,504650,129040,509610
322,138960,514570,143920,519530
323,143920,514570,148880,519530
324,129040,524490,134000,529450
325,129040,529450,134000,534410
326,129040,534410,134000,539370
327,134000,539370,138960,544330
328,134000,534410,138960,539370
329,138960,529450,143920,534410
330,143920,529450,148880,534410
331,158800,539370,163760,544330
332,163760,539370,168720,544330
333,163760,534410,168720,539370
334,129040,484810,134000,489770
335,129040,489770,134000,494730
336,134000,489770,138960,494730
337,134000,484810,138960,489770
338,134000,499690,138960,504650
339,134000,494730,138960,499690
340,138960,489770,143920,494730
341,148880,484810,153840,489770
342,153840,489770,158800,494730
343,153840,484810,158800,489770
344,153840,494730,158800,499690
345,158800,494730,163760,499690
346,163760,499690,168720,504650
347,163760,494730,168720,499690
348,158800,474890,163760,479850
349,158800,479850,163760,484810
350,163760,474890,168720,479850
351,163760,464970,168720,469930
352,173680,469930,178640,474890
353,173680,464970,178640,469930
354,173680,479850,178640,484810
355,173680,474890,178640,479850
356,178640,479850,183600,484810
357,183600,479850,188560,484810
358,183600,474890,188560,479850
359,178640,464970,183600,469930
360,178640,469930,183600,474890
361,183600,469930,188560,474890
362,183600,464970,188560,469930
363,168720,489770,173680,494730
364,173680,489770,178640,494730
365,173680,484810,178640,489770
366,168720,494730,173680,499690
367,168720,499690,173680,504650
368,173680,494730,178640,499690
369,178640,494730,183600,499690
370,178640,499690,183600,504650
371,183600,499690,188560,504650
372,178640,489770,183600,494730
373,183600,484810,188560,489770
374,188560,484810,193520,489770
375,188560,489770,193520,494730
376,193520,489770,198480,494730
377,188560,499690,193520,504650
378,193520,499690,198480,504650
379,203440,489770,208400,494730
380,188560,474890,193520,479850
381,188560,479850,193520,484810
382,198480,474890,203440,479850
383,198480,479850,203440,484810
384,198480,464970,203440,469930
385,203440,464970,208400,469930
386,168720,509610,173680,514570
387,173680,509610,178640,514570
388,173680,519530,178640,524490
389,173680,514570,178640,519530
390,178640,514570,183600,519530
391,183600,519530,188560,524490
392,183600,514570,188560,519530
393,168720,524490,173680,529450
394,168720,529450,173680,534410
395,173680,529450,178640,534410
396,168720,534410,173680,539370
397,168720,539370,173680,544330
398,173680,534410,178640,539370
399,178640,534410,183600,539370
400,178640,539370,183600,544330
401,183600,539370,188560,544330
402,183600,534410,188560,539370
403,178640,529450,183600,534410
404,183600,529450,188560,534410
405,183600,524490,188560,529450
406,188560,534410,193520,539370
407,188560,539370,193520,544330
408,193520,534410,198480,539370
409,198480,539370,203440,544330
410,203440,539370,208400,544330
411,203440,534410,208400,539370
412,198480,524490,203440,529450
413,198480,529450,203440,534410
414,203440,524490,208400,529450
415,188560,509610,193520,514570
416,193520,509610,198480,514570
417,193520,504650,198480,509610
418,188560,514570,193520,519530
419,188560,519530,193520,524490
420,193520,519530,198480,524490
421,193520,514570,198480,519530
422,198480,519530,203440,524490
423,203440,519530,208400,524490
424,203440,514570,208400,519530
425,198480,509610,203440,514570
426,203440,509610,208400,514570
427,208400,504650,213360,509610
428,208400,509610,213360,514570
429,213360,504650,218320,509610
430,213360,514570,218320,519530
431,218320,514570,223280,519530
432,218320,519530,223280,524490
433,223280,514570,228240,519530
434,218320,504650,223280,509610
435,218320,509610,223280,514570
436,208400,524490,213360,529450
437,208400,529450,213360,534410
438,213360,529450,218320,534410
439,213360,524490,218320,529450
440,208400,534410,213360,539370
441,208400,539370,213360,544330
442,213360,539370,218320,544330
443,213360,534410,218320,539370
444,218320,534410,223280,539370
445,218320,539370,223280,544330
446,223280,539370,228240,544330
447,223280,534410,228240,539370
448,218320,524490,223280,529450
449,218320,529450,223280,534410
450,223280,529450,228240,534410
451,228240,529450,233200,534410
452,233200,529450,238160,534410
453,233200,524490,238160,529450
454,228240,534410,233200,539370
455,233200,534410,238160,539370
456,238160,534410,243120,539370
457,238160,539370,243120,544330
458,243120,539370,248080,544330
459,243120,534410,248080,539370
460,238160,524490,243120,529450
461,238160,529450,243120,534410
462,243120,529450,248080,534410
463,243120,524490,248080,529450
464,228240,504650,233200,509610
465,228240,509610,233200,514570
