,0
0,8
1,9
2,25
3,61
4,62
5,69
6,70
7,76
8,77
9,83
10,84
11,85
12,93
13,94
14,95
15,132
16,133
17,149
18,150
19,165
20,166
21,167
22,168
23,182
24,183
25,196
26,197
27,209
28,210
29,211
30,218
31,219
32,220
33,221
34,223
35,226
36,227
37,228
38,229
39,230
40,234
41,235
42,237
43,241
44,242
45,243
46,244
47,251
48,252
49,253
50,254
51,255
52,263
53,265
54,275
55,276
56,290
57,291
58,306
59,307
60,308
61,323
62,324
63,325
64,326
65,339
66,340
67,341
68,354
69,355
70,357
71,358
72,366
73,367
74,368
75,369
76,370
77,372
78,376
79,377
80,378
81,379
82,380
83,381
84,384
85,385
86,386
87,388
88,389
89,391
90,392
91,393
92,398
93,399
94,400
95,401
96,402
97,404
98,408
99,409
100,410
101,411
102,412
103,413
104,420
105,421
106,423
107,424
108,433
109,434
110,447
111,448
112,449
113,450
114,464
115,465
116,466
117,467
118,480
119,481
120,482
121,484
122,497
123,498
124,499
125,500
126,503
127,512
128,513
129,515
130,516
131,517
132,518
133,519
134,523
135,524
136,525
137,526
138,527
139,528
140,533
141,534
142,535
143,536
144,537
145,539
146,542
147,543
148,544
149,545
150,546
151,547
152,549
153,550
154,551
155,552
156,553
157,556
158,557
159,558
160,559
161,560
162,566
163,567
164,569
165,570
166,571
167,578
168,579
169,581
170,582
171,583
172,591
173,592
174,595
175,596
176,605
177,606
178,608
179,621
180,622
181,623
182,624
183,625
184,638
185,639
186,642
187,655
188,656
189,657
190,658
191,661
192,662
193,669
194,670
195,672
196,674
197,675
198,676
199,681
200,682
201,684
202,685
203,686
204,688
205,691
206,692
207,694
208,695
209,696
210,697
211,700
212,701
213,702
214,703
215,704
216,705
217,707
218,708
219,709
220,710
221,711
222,712
223,714
224,715
225,717
226,718
227,719
228,723
229,724
230,725
231,727
232,728
233,729
234,735
235,736
236,738
237,739
238,740
239,741
240,749
241,751
242,753
243,754
244,755
245,762
246,763
247,764
248,766
249,770
250,779
251,780
252,783
253,796
254,797
255,800
256,801
257,804
258,805
259,813
260,816
261,819
262,820
263,821
264,822
265,827
266,828
267,830
268,832
269,833
270,834
271,838
272,839
273,840
274,843
275,844
276,846
277,849
278,850
279,852
280,854
281,855
282,858
283,859
284,860
285,861
286,862
287,863
288,865
289,866
290,867
291,868
292,869
293,870
294,872
295,873
296,875
297,876
298,877
299,878
300,881
301,882
302,885
303,886
304,887
305,893
306,894
307,896
308,897
309,898
310,899
311,906
312,907
313,909
314,911
315,912
316,913
317,920
318,921
319,922
320,924
321,928
322,929
323,936
324,937
325,938
326,941
327,942
328,945
329,946
330,953
331,954
332,955
333,958
334,959
335,962
336,963
337,964
338,971
339,975
340,977
341,978
342,979
343,980
344,984
345,985
346,986
347,988
348,990
349,991
350,992
351,993
352,996
353,997
354,998
355,1000
356,1001
357,1002
358,1004
359,1007
360,1008
361,1010
362,1011
363,1012
364,1013
365,1014
366,1015
367,1016
368,1017
369,1018
370,1019
371,1020
372,1021
373,1022
374,1023
375,1025
376,1026
377,1027
378,1028
379,1030
380,1034
381,1035
382,1036
383,1039
384,1040
385,1043
386,1044
387,1050
388,1051
389,1052
390,1054
391,1056
392,1057
393,1064
394,1065
395,1067
396,1070
397,1071
398,1078
399,1079
400,1082
401,1083
402,1086
403,1087
404,1094
405,1095
406,1096
407,1099
408,1100
409,1103
410,1104
411,1113
412,1114
413,1115
414,1130
415,1131
416,1167
417,1175
418,1182
419,1189
420,1190
421,1199
422,1200
423,1223
424,1224
425,1238
426,1239
427,1254
428,1255
429,1256
430,1271
431,1272
432,1273
433,1274
434,1288
435,1289
436,1302
437,1303
438,1314
439,1315
440,1324
441,1325
442,1326
443,1332
444,1333
445,1334
446,1339
447,1340
448,1341
449,1347
450,1348
451,1349
452,1350
453,1357
454,1358
455,1368
456,1369
457,1381
458,1382
459,1395
460,1396
461,1397
462,1412
463,1413
464,1414
465,1428
466,1429
467,1430
468,1431
469,1432
470,1445
471,1446
472,1447
473,1448
474,1460
475,1461
476,1472
477,1473
478,1475
479,1482
480,1483
481,1484
482,1485
483,1490
484,1491
485,1492
486,1493
487,1497
488,1498
489,1499
490,1500
491,1504
492,1505
493,1506
494,1507
495,1508
496,1514
497,1515
498,1516
499,1518
500,1519
501,1526
502,1527
503,1538
504,1539
505,1540
506,1553
507,1554
508,1555
509,1556
510,1569
511,1570
512,1571
513,1572
514,1573
515,1586
516,1587
517,1588
518,1590
519,1591
520,1603
521,1604
522,1605
523,1606
524,1618
525,1619
526,1629
527,1630
528,1631
529,1633
530,1634
531,1639
532,1640
533,1641
534,1642
535,1643
536,1644
537,1645
538,1648
