,0
0,13
1,20
2,24
3,26
4,33
5,36
6,51
7,52
8,53
9,55
10,97
11,106
12,109
13,126
14,199
15,521
16,531
17,533
18,535
19,537
20,544
21,547
22,562
23,563
24,564
25,567
26,617
27,620
28,637
29,1035
30,1042
31,1044
32,1048
33,1055
34,1058
35,1073
36,1074
37,1075
38,1078
39,1128
40,1131
41,1148
42,1546
43,1553
44,1555
45,1559
46,1566
47,1569
48,1584
49,1585
50,1586
51,1588
52,1604
53,1632
54,1639
55,1642
56,1659
57,2054
58,2064
59,2066
60,2070
61,2077
62,2080
63,2082
64,2094
65,2095
66,2096
67,2097
68,2100
69,2137
70,2139
71,2150
72,2153
73,2170
74,2565
75,2575
76,2577
77,2581
78,2588
79,2591
80,2593
81,2606
82,2607
83,2608
84,2648
85,2661
86,2664
87,2681
88,3079
89,3086
90,3088
91,3092
92,3099
93,3102
94,3117
95,3118
96,3119
97,3165
98,3172
99,3175
100,3191
101,3192
102,3590
103,3597
104,3599
105,3603
106,3610
107,3613
108,3628
109,3629
110,3630
111,3648
112,3676
113,3683
114,3703
115,4098
116,4107
117,4108
118,4110
119,4114
120,4117
121,4121
122,4124
123,4126
124,4138
125,4139
126,4140
127,4141
128,4181
129,4183
130,4194
131,4197
132,4213
133,4214
134,4612
135,4618
136,4619
137,4621
138,4625
139,4628
140,4632
141,4635
142,4650
143,4651
144,4652
145,4692
146,4705
147,4708
148,4724
149,4725
150,5123
151,5130
152,5132
153,5136
154,5139
155,5143
156,5146
157,5161
158,5162
159,5181
160,5216
161,5235
162,5631
163,5640
164,5641
165,5643
166,5648
167,5654
168,5657
169,5672
170,5673
171,5714
172,5716
173,5727
174,5746
175,6141
176,6142
177,6145
178,6151
179,6152
180,6154
181,6156
182,6158
183,6159
184,6161
185,6165
186,6168
187,6183
188,6184
189,6203
190,6238
191,6257
192,6276
193,6652
194,6653
195,6656
196,6662
197,6663
198,6665
199,6667
200,6669
201,6672
202,6676
203,6679
204,6694
205,6695
206,6714
207,6749
208,6787
209,7163
210,7176
211,7178
212,7180
213,7183
214,7187
215,7190
216,7205
217,7225
218,7251
219,7260
220,7263
221,7278
222,7298
223,7674
224,7675
225,7684
226,7685
227,7687
228,7689
229,7691
230,7692
231,7698
232,7701
233,7715
234,7716
235,7717
236,7736
237,7760
238,7771
239,7790
240,8185
241,8186
242,8195
243,8196
244,8198
245,8200
246,8202
247,8203
248,8209
249,8212
250,8227
251,8228
252,8247
253,8282
254,8301
255,8320
256,8696
257,8697
258,8706
259,8707
260,8709
261,8711
262,8713
263,8714
264,8716
265,8720
266,8723
267,8738
268,8739
269,8758
270,8784
271,8793
272,8796
273,8811
274,8812
275,8831
276,9207
277,9218
278,9220
279,9222
280,9224
281,9225
282,9227
283,9231
284,9234
285,9249
286,9269
287,9295
288,9304
289,9307
290,9322
291,9342
292,9377
293,9718
294,9731
295,9733
296,9735
297,9738
298,9742
299,9745
300,9760
301,9762
302,9780
303,9806
304,9815
305,9818
306,9833
307,9835
308,9853
309,9888
310,9906
311,10229
312,10240
313,10244
314,10246
315,10249
316,10253
317,10256
318,10271
319,10273
320,10290
321,10291
322,10302
323,10317
324,10322
325,10326
326,10344
327,10346
328,10399
329,10417
330,10740
331,10744
332,10755
333,10757
334,10758
335,10760
336,10764
337,10765
338,10766
339,10767
340,10781
341,10782
342,10783
343,10784
344,10786
345,10801
346,10802
347,10803
348,10813
349,10828
350,10830
351,10833
352,10837
353,10854
354,10855
355,10857
356,10910
357,10928
358,10930
359,11251
360,11252
361,11261
362,11262
363,11264
364,11266
365,11269
366,11275
367,11278
368,11280
369,11293
370,11294
371,11313
372,11348
373,11351
374,11366
375,11367
376,11386
377,11421
378,11762
379,11763
380,11772
381,11773
382,11775
383,11777
384,11780
385,11782
386,11786
387,11789
388,11804
389,11805
390,11824
391,11859
392,11862
393,11877
394,11878
395,11897
396,11932
397,12273
398,12274
399,12283
400,12284
401,12288
402,12290
403,12291
404,12293
405,12297
406,12300
407,12315
408,12317
409,12335
410,12346
411,12364
412,12370
413,12373
414,12388
415,12408
416,12443
417,12784
418,12795
419,12799
420,12801
421,12802
422,12804
423,12808
424,12810
425,12811
426,12826
427,12828
428,12846
429,12857
430,12875
431,12881
432,12884
433,12899
434,12901
435,12919
436,12954
437,12972
438,13295
439,13306
440,13310
441,13312
442,13313
443,13315
444,13319
445,13320
446,13321
447,13322
448,13337
449,13338
450,13339
451,13356
452,13357
453,13368
454,13386
455,13392
456,13395
457,13410
458,13412
459,13465
460,13483
461,13485
462,13806
463,13810
464,13817
465,13821
466,13823
467,13826
468,13830
469,13831
470,13832
471,13833
472,13847
473,13848
474,13849
475,13850
476,13852
477,13867
478,13868
479,13869
480,13879
481,13894
482,13896
483,13899
484,13903
485,13920
486,13921
487,13923
488,13976
489,13994
490,13996
491,14317
492,14321
493,14332
494,14334
495,14335
496,14337
497,14341
498,14342
499,14343
500,14358
501,14359
502,14360
503,14361
504,14363
505,14379
506,14380
507,14390
508,14405
509,14407
510,14410
511,14414
512,14431
513,14432
514,14434
515,14478
516,14487
517,14505
518,14507
519,14580
520,14829
521,14836
522,14838
523,14839
524,14841
525,14843
526,14846
527,14852
528,14855
529,14856
530,14857
531,14870
532,14871
533,14890
534,14912
535,14919
536,14925
537,14928
538,14943
539,14944
540,14998
541,15339
542,15340
543,15349
544,15350
545,15352
546,15354
547,15356
548,15357
549,15363
550,15366
551,15368
552,15381
553,15382
554,15383
555,15401
556,15412
557,15423
558,15430
559,15436
560,15439
561,15454
562,15455
563,15474
564,15509
565,15850
566,15851
567,15860
568,15861
569,15863
570,15865
571,15867
572,15868
573,15870
574,15874
575,15876
576,15877
577,15892
578,15894
579,15912
580,15923
581,15941
582,15947
583,15950
584,15965
585,15967
586,15985
587,16020
588,16361
589,16371
590,16372
591,16376
592,16378
593,16379
594,16381
595,16385
596,16386
597,16387
598,16388
599,16403
600,16405
601,16423
602,16434
603,16451
604,16452
605,16458
606,16461
607,16476
608,16478
609,16531
610,16549
611,16551
612,16872
613,16883
614,16887
615,16889
616,16890
617,16892
618,16896
619,16897
620,16898
621,16899
622,16914
623,16915
624,16916
625,16934
626,16945
627,16960
628,16962
629,16963
630,16969
631,16972
632,16987
633,16989
634,17042
635,17060
636,17062
637,17381
638,17383
639,17387
640,17394
641,17398
642,17400
643,17401
644,17403
645,17407
646,17408
647,17409
648,17424
649,17425
650,17426
651,17427
652,17444
653,17445
654,17456
655,17471
656,17473
657,17474
658,17476
659,17480
660,17482
661,17497
662,17498
663,17500
664,17553
665,17571
666,17573
667,17887
668,17894
669,17898
670,17909
671,17911
672,17912
673,17914
674,17918
675,17919
676,17920
677,17933
678,17935
679,17936
680,17937
681,17938
