minbound,shape,unit
84369,11,3
447804,10,3
0,8,3

IX,IY,IZ,value

0,0,0,-1

0,0,1,-1

0,0,2,-1

0,0,3,-1

0,0,4,-1

0,0,5,-1

0,0,6,-1

0,0,7,-1

0,1,0,-1

0,1,1,-1

0,1,2,-1

0,1,3,-1

0,1,4,-1

0,1,5,-1

0,1,6,-1

0,1,7,-1

0,2,0,-1

0,2,1,-1

0,2,2,-1

0,2,3,-1

0,2,4,-1

0,2,5,-1

0,2,6,-1

0,2,7,-1

0,3,0,-1

0,3,1,-1

0,3,2,-1

0,3,3,-1

0,3,4,-1

0,3,5,-1

0,3,6,-1

0,3,7,-1

0,4,0,-1

0,4,1,-1

0,4,2,-1

0,4,3,-1

0,4,4,-1

0,4,5,-1

0,4,6,-1

0,4,7,-1

0,5,0,-1

0,5,1,-1

0,5,2,-1

0,5,3,-1

0,5,4,-1

0,5,5,-1

0,5,6,-1

0,5,7,-1

0,6,0,-1

0,6,1,-1

0,6,2,-1

0,6,3,-1

0,6,4,-1

0,6,5,-1

0,6,6,-1

0,6,7,-1

0,7,0,-1

0,7,1,-1

0,7,2,-1

0,7,3,-1

0,7,4,-1

0,7,5,-1

0,7,6,-1

0,7,7,-1

0,8,0,-1

0,8,1,-1

0,8,2,-1

0,8,3,-1

0,8,4,-1

0,8,5,-1

0,8,6,-1

0,8,7,-1

0,9,0,-1

0,9,1,-1

0,9,2,-1

0,9,3,-1

0,9,4,-1

0,9,5,-1

0,9,6,-1

0,9,7,-1

1,0,0,-1

1,0,1,-1

1,0,2,-1

1,0,3,-1

1,0,4,-1

1,0,5,-1

1,0,6,-1

1,0,7,-1

1,1,0,-1

1,1,1,-1

1,1,2,-1

1,1,3,-1

1,1,4,-1

1,1,5,-1

1,1,6,-1

1,1,7,-1

1,2,0,-1

1,2,1,-1

1,2,2,-1

1,2,3,-1

1,2,4,-1

1,2,5,-1

1,2,6,-1

1,2,7,-1

1,3,0,-1

1,3,1,0.01

1,3,2,0.18

1,3,3,0.44

1,3,4,0.65

1,3,5,0.69

1,3,6,0.77

1,3,7,0.81

1,4,0,-1

1,4,1,-1

1,4,2,-1

1,4,3,-1

1,4,4,-1

1,4,5,-1

1,4,6,-1

1,4,7,-1

1,5,0,-1

1,5,1,-1

1,5,2,-1

1,5,3,-1

1,5,4,-1

1,5,5,-1

1,5,6,-1

1,5,7,-1

1,6,0,-1

1,6,1,-1

1,6,2,-1

1,6,3,-1

1,6,4,-1

1,6,5,-1

1,6,6,-1

1,6,7,-1

1,7,0,-1

1,7,1,-1

1,7,2,-1

1,7,3,-1

1,7,4,-1

1,7,5,-1

1,7,6,-1

1,7,7,-1

1,8,0,-1

1,8,1,-1

1,8,2,-1

1,8,3,-1

1,8,4,-1

1,8,5,-1

1,8,6,-1

1,8,7,-1

1,9,0,-1

1,9,1,-1

1,9,2,-1

1,9,3,-1

1,9,4,-1

1,9,5,-1

1,9,6,-1

1,9,7,-1

2,0,0,-1

2,0,1,-1

2,0,2,-1

2,0,3,-1

2,0,4,-1

2,0,5,-1

2,0,6,-1

2,0,7,-1

2,1,0,-1

2,1,1,0.05

2,1,2,0.12

2,1,3,0.37

2,1,4,0.55

2,1,5,0.62

2,1,6,0.65

2,1,7,0.7

2,2,0,-1

2,2,1,0.01

2,2,2,0.16

2,2,3,0.44

2,2,4,0.57

2,2,5,0.64

2,2,6,0.68

2,2,7,0.75

2,3,0,-1

2,3,1,0

2,3,2,0.13

2,3,3,0.43

2,3,4,0.6

2,3,5,0.64

2,3,6,0.74

2,3,7,0.81

2,4,0,-1

2,4,1,-1

2,4,2,-1

2,4,3,-1

2,4,4,-1

2,4,5,-1

2,4,6,-1

2,4,7,-1

2,5,0,-1

2,5,1,-1

2,5,2,-1

2,5,3,-1

2,5,4,-1

2,5,5,-1

2,5,6,-1

2,5,7,-1

2,6,0,-1

2,6,1,-1

2,6,2,-1

2,6,3,-1

2,6,4,-1

